ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,andy,arti,azu,barrel,bebr,bitto,cako,chaeix,chaos,collen,dank,dans,dem,deo,dire,dis,dowolf,drj133,eggert,ema,fiop,fl81,gall,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,junk,kama,kcf,kecleon,kotetsu,lefty,lem,lies,mac,max,mega,mihark,mist,moonr,neko,nfun,orange,p0,para,place,plas,pony,prince,prod,prody,pyre,rev,rwlh,sceptile,sergio,shark,skull,sly,snake,sniff,suprak,taffer,tazzy,tgs,tked,tre,tsunami,tunnel,turus,uf8,w1ndzs,wave,xx521,zel
207,Isolated Island Consigned to Oblivion,Nuedori,18,29,47,11,Nuedori,,,Isolated Island Consigned to Oblivion,Nuedori,Nuedori,,,,Isolated Island Consigned to Oblivion,,Nuedori,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,,Isolated Island Consigned to Oblivion,Nuedori,,Nuedori,Nuedori,,,Nuedori,,Nuedori,Isolated Island Consigned to Oblivion,,Nuedori,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Nuedori,Isolated Island Consigned to Oblivion,Nuedori,Isolated Island Consigned to Oblivion,,,Nuedori,Nuedori,,,Nuedori,Nuedori,,Isolated Island Consigned to Oblivion,Nuedori,,,,,,Isolated Island Consigned to Oblivion,Nuedori,,Isolated Island Consigned to Oblivion,,,Isolated Island Consigned to Oblivion,Nuedori,Nuedori,,Nuedori,,Nuedori,,Nuedori,,Nuedori,Nuedori,,,,,,Nuedori,,Nuedori,,Isolated Island Consigned to Oblivion,Isolated Island Consigned to Oblivion,Nuedori,Nuedori,,Nuedori,
208,Nazca no Oka (Long Version),Danger (ARM Version),30,20,50,10,Nazca no Oka (Long Version),,,Nazca no Oka (Long Version),Nazca no Oka (Long Version),Nazca no Oka (Long Version),,,,Nazca no Oka (Long Version),,Danger (ARM Version),Danger (ARM Version),Nazca no Oka (Long Version),,,Danger (ARM Version),,Nazca no Oka (Long Version),Danger (ARM Version),Nazca no Oka (Long Version),Nazca no Oka (Long Version),,,Nazca no Oka (Long Version),Danger (ARM Version),,Danger (ARM Version),Nazca no Oka (Long Version),Nazca no Oka (Long Version),Danger (ARM Version),Danger (ARM Version),Nazca no Oka (Long Version),,Danger (ARM Version),Nazca no Oka (Long Version),,,Nazca no Oka (Long Version),Nazca no Oka (Long Version),,,Nazca no Oka (Long Version),Danger (ARM Version),Danger (ARM Version),Danger (ARM Version),Nazca no Oka (Long Version),,,,,,Nazca no Oka (Long Version),Nazca no Oka (Long Version),,Danger (ARM Version),Danger (ARM Version),Nazca no Oka (Long Version),Nazca no Oka (Long Version),Danger (ARM Version),Nazca no Oka (Long Version),,Danger (ARM Version),,Danger (ARM Version),,Danger (ARM Version),,Nazca no Oka (Long Version),Nazca no Oka (Long Version),,,,,,Nazca no Oka (Long Version),,Nazca no Oka (Long Version),,Danger (ARM Version),Danger (ARM Version),Nazca no Oka (Long Version),Nazca no Oka (Long Version),Nazca no Oka (Long Version),Nazca no Oka (Long Version),
209,Evergreen,Chromesthesia,23,26,49,3,Chromesthesia,,,Chromesthesia,Evergreen,Evergreen,,,,Chromesthesia,,Chromesthesia,Chromesthesia,Chromesthesia,,,Chromesthesia,,Evergreen,Evergreen,Chromesthesia,,Chromesthesia,,Evergreen,Evergreen,,Evergreen,Evergreen,Evergreen,Chromesthesia,Chromesthesia,Chromesthesia,,Chromesthesia,Evergreen,,,Evergreen,Chromesthesia,,,Evergreen,Evergreen,Chromesthesia,Chromesthesia,Chromesthesia,,,,,,Chromesthesia,Evergreen,,Chromesthesia,Chromesthesia,Evergreen,Evergreen,Chromesthesia,Evergreen,,,,Evergreen,,Chromesthesia,,Chromesthesia,Evergreen,,,,,,Chromesthesia,,Evergreen,,Chromesthesia,Chromesthesia,Evergreen,Chromesthesia,Evergreen,Evergreen,
210,Specimen of Life (Long Version),Dragon Valley,26,25,51,1,Specimen of Life (Long Version),,Dragon Valley,Dragon Valley,Specimen of Life (Long Version),Dragon Valley,,,,Specimen of Life (Long Version),,Dragon Valley,Dragon Valley,Dragon Valley,,,Specimen of Life (Long Version),,Dragon Valley,Dragon Valley,Specimen of Life (Long Version),Dragon Valley,Specimen of Life (Long Version),,Specimen of Life (Long Version),Dragon Valley,,Specimen of Life (Long Version),Dragon Valley,Dragon Valley,Specimen of Life (Long Version),Specimen of Life (Long Version),Dragon Valley,,Specimen of Life (Long Version),Specimen of Life (Long Version),,,Specimen of Life (Long Version),Dragon Valley,,,Specimen of Life (Long Version),Specimen of Life (Long Version),,Specimen of Life (Long Version),Dragon Valley,,,,,,Specimen of Life (Long Version),Specimen of Life (Long Version),,Dragon Valley,Specimen of Life (Long Version),Specimen of Life (Long Version),Dragon Valley,Specimen of Life (Long Version),Dragon Valley,,Specimen of Life (Long Version),,Dragon Valley,,Specimen of Life (Long Version),,Dragon Valley,Dragon Valley,,,,,,Dragon Valley,,Specimen of Life (Long Version),,Specimen of Life (Long Version),Dragon Valley,Specimen of Life (Long Version),Specimen of Life (Long Version),Dragon Valley,Dragon Valley,
211,Balearic Birds,Suna no Shiro -The Castle of Sand-,18,34,52,16,Suna no Shiro -The Castle of Sand-,,Balearic Birds,Balearic Birds,Suna no Shiro -The Castle of Sand-,Balearic Birds,,,,Suna no Shiro -The Castle of Sand-,,Balearic Birds,Balearic Birds,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,,Balearic Birds,,Balearic Birds,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,,Balearic Birds,Balearic Birds,Balearic Birds,Suna no Shiro -The Castle of Sand-,,,Suna no Shiro -The Castle of Sand-,Balearic Birds,,,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,,Suna no Shiro -The Castle of Sand-,Balearic Birds,,,,,,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Balearic Birds,Balearic Birds,,Suna no Shiro -The Castle of Sand-,,Balearic Birds,,Suna no Shiro -The Castle of Sand-,,Balearic Birds,Balearic Birds,,,,,,Suna no Shiro -The Castle of Sand-,,Suna no Shiro -The Castle of Sand-,,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Suna no Shiro -The Castle of Sand-,Balearic Birds,
212,A Hopeful Astraea,No Turning Back,26,24,50,2,A Hopeful Astraea,,No Turning Back,A Hopeful Astraea,No Turning Back,No Turning Back,,,,A Hopeful Astraea,,No Turning Back,No Turning Back,,No Turning Back,,A Hopeful Astraea,,No Turning Back,A Hopeful Astraea,No Turning Back,No Turning Back,No Turning Back,,No Turning Back,No Turning Back,,A Hopeful Astraea,A Hopeful Astraea,No Turning Back,No Turning Back,No Turning Back,A Hopeful Astraea,A Hopeful Astraea,A Hopeful Astraea,No Turning Back,,,A Hopeful Astraea,No Turning Back,,,A Hopeful Astraea,A Hopeful Astraea,,No Turning Back,A Hopeful Astraea,,,,,,No Turning Back,A Hopeful Astraea,,No Turning Back,A Hopeful Astraea,No Turning Back,A Hopeful Astraea,A Hopeful Astraea,No Turning Back,,A Hopeful Astraea,,,,A Hopeful Astraea,,No Turning Back,No Turning Back,,,,,,A Hopeful Astraea,,A Hopeful Astraea,,A Hopeful Astraea,A Hopeful Astraea,A Hopeful Astraea,A Hopeful Astraea,,A Hopeful Astraea,
213,Snowfield,The Merciless Savior,17,35,52,18,The Merciless Savior,,Snowfield,Snowfield,The Merciless Savior,The Merciless Savior,,,,The Merciless Savior,,Snowfield,Snowfield,The Merciless Savior,The Merciless Savior,,The Merciless Savior,,Snowfield,The Merciless Savior,The Merciless Savior,The Merciless Savior,Snowfield,,Snowfield,Snowfield,,The Merciless Savior,The Merciless Savior,Snowfield,The Merciless Savior,The Merciless Savior,The Merciless Savior,The Merciless Savior,The Merciless Savior,The Merciless Savior,,,Snowfield,The Merciless Savior,,,The Merciless Savior,The Merciless Savior,,The Merciless Savior,Snowfield,,,,,,The Merciless Savior,The Merciless Savior,,The Merciless Savior,The Merciless Savior,Snowfield,Snowfield,The Merciless Savior,The Merciless Savior,,The Merciless Savior,,Snowfield,,The Merciless Savior,,Snowfield,The Merciless Savior,,,,,,The Merciless Savior,,The Merciless Savior,,The Merciless Savior,The Merciless Savior,The Merciless Savior,Snowfield,,Snowfield,
214,The Fox's Lair,The Phantom World,30,19,49,11,The Fox's Lair,,,The Fox's Lair,The Fox's Lair,The Fox's Lair,,,,,,The Phantom World,The Phantom World,The Phantom World,The Fox's Lair,,The Fox's Lair,,The Fox's Lair,,The Fox's Lair,The Phantom World,The Fox's Lair,,The Fox's Lair,The Fox's Lair,,The Phantom World,The Fox's Lair,The Fox's Lair,The Phantom World,The Fox's Lair,The Fox's Lair,The Fox's Lair,The Fox's Lair,The Fox's Lair,,,The Fox's Lair,The Fox's Lair,,,The Fox's Lair,The Fox's Lair,,The Fox's Lair,The Phantom World,,,,,,The Phantom World,The Fox's Lair,,The Fox's Lair,The Phantom World,The Phantom World,The Phantom World,The Phantom World,The Fox's Lair,,The Fox's Lair,,The Phantom World,,The Phantom World,,The Phantom World,The Phantom World,,,,,,The Fox's Lair,,The Fox's Lair,,The Phantom World,The Fox's Lair,,The Phantom World,The Fox's Lair,The Phantom World,
215,envidia (Long Version),The Blue Sanctuary,23,25,48,2,The Blue Sanctuary,,,envidia (Long Version),The Blue Sanctuary,envidia (Long Version),,,,,,envidia (Long Version),envidia (Long Version),envidia (Long Version),The Blue Sanctuary,,The Blue Sanctuary,,envidia (Long Version),,The Blue Sanctuary,,envidia (Long Version),,The Blue Sanctuary,envidia (Long Version),,The Blue Sanctuary,envidia (Long Version),The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,The Blue Sanctuary,envidia (Long Version),The Blue Sanctuary,The Blue Sanctuary,,,The Blue Sanctuary,envidia (Long Version),,,The Blue Sanctuary,The Blue Sanctuary,,The Blue Sanctuary,envidia (Long Version),,,,,,envidia (Long Version),The Blue Sanctuary,,envidia (Long Version),envidia (Long Version),The Blue Sanctuary,envidia (Long Version),envidia (Long Version),envidia (Long Version),,envidia (Long Version),,envidia (Long Version),,The Blue Sanctuary,,envidia (Long Version),The Blue Sanctuary,,,,,,The Blue Sanctuary,,The Blue Sanctuary,,The Blue Sanctuary,The Blue Sanctuary,,envidia (Long Version),envidia (Long Version),The Blue Sanctuary,
216,Jaguar Ningen no Junan (Long Version),Stage Music 1,26,21,47,5,Jaguar Ningen no Junan (Long Version),,,Stage Music 1,Stage Music 1,Jaguar Ningen no Junan (Long Version),,,,,,Stage Music 1,Stage Music 1,Stage Music 1,Jaguar Ningen no Junan (Long Version),,Stage Music 1,,Jaguar Ningen no Junan (Long Version),,Stage Music 1,,Jaguar Ningen no Junan (Long Version),,Stage Music 1,Stage Music 1,,Stage Music 1,Jaguar Ningen no Junan (Long Version),Jaguar Ningen no Junan (Long Version),Jaguar Ningen no Junan (Long Version),Stage Music 1,Jaguar Ningen no Junan (Long Version),Stage Music 1,Jaguar Ningen no Junan (Long Version),Jaguar Ningen no Junan (Long Version),,,Jaguar Ningen no Junan (Long Version),Stage Music 1,,,Stage Music 1,Jaguar Ningen no Junan (Long Version),,Jaguar Ningen no Junan (Long Version),Jaguar Ningen no Junan (Long Version),,,,,,,Jaguar Ningen no Junan (Long Version),,Stage Music 1,Jaguar Ningen no Junan (Long Version),Jaguar Ningen no Junan (Long Version),Stage Music 1,Stage Music 1,Jaguar Ningen no Junan (Long Version),,Stage Music 1,,,,Jaguar Ningen no Junan (Long Version),,Jaguar Ningen no Junan (Long Version),Jaguar Ningen no Junan (Long Version),,,,,,Jaguar Ningen no Junan (Long Version),,Jaguar Ningen no Junan (Long Version),,Stage Music 1,Jaguar Ningen no Junan (Long Version),Stage Music 1,Jaguar Ningen no Junan (Long Version),Jaguar Ningen no Junan (Long Version),Stage Music 1,
217,MAD LAST WORLD,My Favorite Hero Show,28,22,50,6,MAD LAST WORLD,,MAD LAST WORLD,My Favorite Hero Show,MAD LAST WORLD,,,,,,,My Favorite Hero Show,My Favorite Hero Show,MAD LAST WORLD,,,MAD LAST WORLD,,MAD LAST WORLD,MAD LAST WORLD,,My Favorite Hero Show,My Favorite Hero Show,,MAD LAST WORLD,MAD LAST WORLD,,MAD LAST WORLD,MAD LAST WORLD,MAD LAST WORLD,My Favorite Hero Show,My Favorite Hero Show,MAD LAST WORLD,MAD LAST WORLD,MAD LAST WORLD,My Favorite Hero Show,,,My Favorite Hero Show,My Favorite Hero Show,,,My Favorite Hero Show,MAD LAST WORLD,My Favorite Hero Show,MAD LAST WORLD,My Favorite Hero Show,,,,,,My Favorite Hero Show,MAD LAST WORLD,,MAD LAST WORLD,My Favorite Hero Show,MAD LAST WORLD,MAD LAST WORLD,MAD LAST WORLD,My Favorite Hero Show,,MAD LAST WORLD,,My Favorite Hero Show,,My Favorite Hero Show,,MAD LAST WORLD,MAD LAST WORLD,,,,,,My Favorite Hero Show,,MAD LAST WORLD,,My Favorite Hero Show,MAD LAST WORLD,My Favorite Hero Show,My Favorite Hero Show,MAD LAST WORLD,MAD LAST WORLD,
218,NiGHTS And Reala,Brilliant Wings,16,33,49,17,Brilliant Wings,,Brilliant Wings,Brilliant Wings,Brilliant Wings,,,,,,,NiGHTS And Reala,NiGHTS And Reala,Brilliant Wings,,,NiGHTS And Reala,,Brilliant Wings,Brilliant Wings,,Brilliant Wings,NiGHTS And Reala,,Brilliant Wings,NiGHTS And Reala,,Brilliant Wings,Brilliant Wings,Brilliant Wings,Brilliant Wings,NiGHTS And Reala,Brilliant Wings,NiGHTS And Reala,Brilliant Wings,Brilliant Wings,,,Brilliant Wings,Brilliant Wings,,,Brilliant Wings,Brilliant Wings,,Brilliant Wings,Brilliant Wings,,,,,,Brilliant Wings,Brilliant Wings,,NiGHTS And Reala,NiGHTS And Reala,Brilliant Wings,NiGHTS And Reala,NiGHTS And Reala,NiGHTS And Reala,,Brilliant Wings,,Brilliant Wings,,Brilliant Wings,,NiGHTS And Reala,Brilliant Wings,,,,,,Brilliant Wings,,Brilliant Wings,,NiGHTS And Reala,Brilliant Wings,NiGHTS And Reala,Brilliant Wings,Brilliant Wings,NiGHTS And Reala,
219,Compass,Crumble Soul (Extended Mix),18,28,46,10,Crumble Soul (Extended Mix),,Compass,Compass,Crumble Soul (Extended Mix),,,,,,,Crumble Soul (Extended Mix),Crumble Soul (Extended Mix),,,,Crumble Soul (Extended Mix),,Crumble Soul (Extended Mix),Compass,,Compass,Crumble Soul (Extended Mix),,Crumble Soul (Extended Mix),Crumble Soul (Extended Mix),,Crumble Soul (Extended Mix),Crumble Soul (Extended Mix),Compass,Compass,Compass,Crumble Soul (Extended Mix),Compass,Crumble Soul (Extended Mix),Crumble Soul (Extended Mix),,,Compass,Crumble Soul (Extended Mix),,,Crumble Soul (Extended Mix),Compass,,Crumble Soul (Extended Mix),Compass,,,,,,Crumble Soul (Extended Mix),Crumble Soul (Extended Mix),,Compass,Crumble Soul (Extended Mix),Compass,Compass,Crumble Soul (Extended Mix),Crumble Soul (Extended Mix),,Crumble Soul (Extended Mix),,,,Crumble Soul (Extended Mix),,Crumble Soul (Extended Mix),Crumble Soul (Extended Mix),,,,,,Crumble Soul (Extended Mix),,Compass,,Crumble Soul (Extended Mix),Compass,Crumble Soul (Extended Mix),Compass,,Compass,
220,Untamed Heart,Late Goodbye,31,20,51,11,Untamed Heart,,Late Goodbye,Untamed Heart,Late Goodbye,Late Goodbye,,,,Untamed Heart,,Late Goodbye,Untamed Heart,Untamed Heart,Untamed Heart,,Untamed Heart,,Late Goodbye,Late Goodbye,Untamed Heart,Untamed Heart,Untamed Heart,,Untamed Heart,Late Goodbye,,Untamed Heart,Untamed Heart,Untamed Heart,Untamed Heart,Untamed Heart,Late Goodbye,Late Goodbye,Untamed Heart,Untamed Heart,,,Late Goodbye,Late Goodbye,,,Untamed Heart,Late Goodbye,Untamed Heart,Untamed Heart,Late Goodbye,,,,,,Untamed Heart,Late Goodbye,,Untamed Heart,Untamed Heart,Untamed Heart,Late Goodbye,Untamed Heart,Late Goodbye,,,,Untamed Heart,,Untamed Heart,,Late Goodbye,Late Goodbye,,,,,,Late Goodbye,,Late Goodbye,,Untamed Heart,Untamed Heart,Untamed Heart,,,Untamed Heart,
221,GET ENUF,Fairytale Poison and Solitude,23,29,52,6,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,GET ENUF,GET ENUF,GET ENUF,,,,Fairytale Poison and Solitude,,GET ENUF,Fairytale Poison and Solitude,Fairytale Poison and Solitude,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,,GET ENUF,Fairytale Poison and Solitude,Fairytale Poison and Solitude,Fairytale Poison and Solitude,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,GET ENUF,,,GET ENUF,GET ENUF,Fairytale Poison and Solitude,Fairytale Poison and Solitude,GET ENUF,GET ENUF,Fairytale Poison and Solitude,Fairytale Poison and Solitude,,,GET ENUF,Fairytale Poison and Solitude,,,GET ENUF,Fairytale Poison and Solitude,GET ENUF,Fairytale Poison and Solitude,Fairytale Poison and Solitude,,,,,,Fairytale Poison and Solitude,Fairytale Poison and Solitude,,GET ENUF,Fairytale Poison and Solitude,GET ENUF,GET ENUF,Fairytale Poison and Solitude,Fairytale Poison and Solitude,,GET ENUF,,GET ENUF,,Fairytale Poison and Solitude,,GET ENUF,GET ENUF,,,,,,GET ENUF,,GET ENUF,,Fairytale Poison and Solitude,Fairytale Poison and Solitude,Fairytale Poison and Solitude,,Fairytale Poison and Solitude,GET ENUF,
222,Light Velocity,Seaside Vacation,35,18,53,17,Light Velocity,,Light Velocity,Seaside Vacation,Seaside Vacation,Light Velocity,,,,Light Velocity,,Light Velocity,Light Velocity,Light Velocity,Light Velocity,,Seaside Vacation,,Light Velocity,Seaside Vacation,Seaside Vacation,Light Velocity,Light Velocity,,Light Velocity,Light Velocity,,Light Velocity,Light Velocity,Seaside Vacation,Light Velocity,Light Velocity,Light Velocity,Light Velocity,Seaside Vacation,Light Velocity,,,Seaside Vacation,Light Velocity,,,Seaside Vacation,Seaside Vacation,Light Velocity,Seaside Vacation,Seaside Vacation,,,,,,Light Velocity,Seaside Vacation,,Light Velocity,Light Velocity,Light Velocity,Light Velocity,Light Velocity,Light Velocity,,Light Velocity,,Seaside Vacation,,Light Velocity,,Seaside Vacation,Light Velocity,,,,,,Seaside Vacation,,Seaside Vacation,,Light Velocity,Light Velocity,Light Velocity,,Light Velocity,Seaside Vacation,
223,requiemforxxx -InParadisum-,Kataklysm in the Computer,18,30,48,12,Kataklysm in the Computer,,Kataklysm in the Computer,Kataklysm in the Computer,requiemforxxx -InParadisum-,requiemforxxx -InParadisum-,,,,Kataklysm in the Computer,,,Kataklysm in the Computer,Kataklysm in the Computer,,,requiemforxxx -InParadisum-,,Kataklysm in the Computer,requiemforxxx -InParadisum-,,Kataklysm in the Computer,Kataklysm in the Computer,,requiemforxxx -InParadisum-,Kataklysm in the Computer,,requiemforxxx -InParadisum-,Kataklysm in the Computer,Kataklysm in the Computer,requiemforxxx -InParadisum-,requiemforxxx -InParadisum-,Kataklysm in the Computer,,requiemforxxx -InParadisum-,Kataklysm in the Computer,,,Kataklysm in the Computer,Kataklysm in the Computer,,,requiemforxxx -InParadisum-,requiemforxxx -InParadisum-,Kataklysm in the Computer,requiemforxxx -InParadisum-,Kataklysm in the Computer,,,,,,Kataklysm in the Computer,requiemforxxx -InParadisum-,,Kataklysm in the Computer,,Kataklysm in the Computer,Kataklysm in the Computer,requiemforxxx -InParadisum-,Kataklysm in the Computer,,requiemforxxx -InParadisum-,,Kataklysm in the Computer,,Kataklysm in the Computer,Kataklysm in the Computer,Kataklysm in the Computer,requiemforxxx -InParadisum-,,,,,,Kataklysm in the Computer,,requiemforxxx -InParadisum-,,Kataklysm in the Computer,Kataklysm in the Computer,requiemforxxx -InParadisum-,,,Kataklysm in the Computer,
224,Warcry,The Grand Finale,29,21,50,8,Warcry,,The Grand Finale,Warcry,The Grand Finale,Warcry,,,,Warcry,,,Warcry,Warcry,,,Warcry,,The Grand Finale,Warcry,,The Grand Finale,Warcry,,Warcry,The Grand Finale,,Warcry,The Grand Finale,The Grand Finale,Warcry,Warcry,The Grand Finale,,Warcry,Warcry,,,Warcry,Warcry,,,Warcry,Warcry,Warcry,The Grand Finale,The Grand Finale,,,,,,Warcry,The Grand Finale,,Warcry,,The Grand Finale,The Grand Finale,Warcry,Warcry,The Grand Finale,Warcry,,Warcry,,Warcry,The Grand Finale,Warcry,The Grand Finale,,,,,,The Grand Finale,,The Grand Finale,,The Grand Finale,Warcry,Warcry,,The Grand Finale,The Grand Finale,
225,Awakening ~ Nürburgring Suite,b10,30,22,52,8,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,b10,Awakening ~ Nürburgring Suite,,,,b10,,,Awakening ~ Nürburgring Suite,b10,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,,b10,Awakening ~ Nürburgring Suite,b10,Awakening ~ Nürburgring Suite,b10,,b10,b10,,b10,b10,Awakening ~ Nürburgring Suite,b10,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,b10,Awakening ~ Nürburgring Suite,,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,,b10,b10,b10,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,,,,,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,b10,b10,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,b10,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,,b10,,b10,b10,,,,,,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,b10,b10,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,,Awakening ~ Nürburgring Suite,Awakening ~ Nürburgring Suite,
226,Spring Wind Skylark,Softbank,23,30,53,7,Softbank,,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Softbank,,,,Spring Wind Skylark,,,Softbank,Softbank,Spring Wind Skylark,,Softbank,,Softbank,Spring Wind Skylark,Softbank,Softbank,Softbank,,Spring Wind Skylark,Softbank,,Softbank,Spring Wind Skylark,Spring Wind Skylark,Softbank,,Spring Wind Skylark,Softbank,Softbank,Softbank,,,Softbank,Softbank,,,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Spring Wind Skylark,Softbank,,,,,,Softbank,Spring Wind Skylark,Spring Wind Skylark,Softbank,Softbank,Softbank,Softbank,Spring Wind Skylark,Softbank,Spring Wind Skylark,Softbank,,Softbank,,Softbank,,Spring Wind Skylark,Spring Wind Skylark,,,,,,Softbank,,Spring Wind Skylark,Spring Wind Skylark,Softbank,Softbank,Softbank,,Spring Wind Skylark,Spring Wind Skylark,
