ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,acire,afrono,andy,arti,az,bane,barrel,bebr,bitto,boss,cako,chaeix,chaos,collen,dan,dem,deo,dire,dis,dowolf,drj133,ema,fl81,gall,gin,haste,hb,hbj,horita,hotdog,hunj,hunt,isquen,janus,jona,jungle,kama,kcf,kecleon,kong,korji,lasa,lefty,lem,lilly,mac,maple,mark,max,mega,mihark,monkey,neko,nfun,ogura,p0,para,place,plas,pony,prince,prod,prody,pyre,rwlh,sea,sergio,skull,sly,taff,tazzy,tgs,tked,tre,tunnel,turus,uf8,ulti,wave,xuxon,xx521,zel,zts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,where is smiley?,Meta Knight's Revenge,30,23,53,7,where is smiley?,,Meta Knight's Revenge,,where is smiley?,where is smiley?,Meta Knight's Revenge,,,,Meta Knight's Revenge,,,,,where is smiley?,Meta Knight's Revenge,,Meta Knight's Revenge,where is smiley?,Meta Knight's Revenge,where is smiley?,where is smiley?,where is smiley?,Meta Knight's Revenge,Meta Knight's Revenge,,Meta Knight's Revenge,Meta Knight's Revenge,Meta Knight's Revenge,Meta Knight's Revenge,where is smiley?,,Meta Knight's Revenge,Meta Knight's Revenge,Meta Knight's Revenge,where is smiley?,,where is smiley?,where is smiley?,,,,,where is smiley?,where is smiley?,,Meta Knight's Revenge,where is smiley?,,where is smiley?,where is smiley?,Meta Knight's Revenge,,,where is smiley?,,,Meta Knight's Revenge,,Meta Knight's Revenge,where is smiley?,where is smiley?,where is smiley?,,where is smiley?,where is smiley?,,where is smiley?,where is smiley?,,where is smiley?,where is smiley?,where is smiley?,,where is smiley?,Meta Knight's Revenge,Meta Knight's Revenge,where is smiley?,,Meta Knight's Revenge,Meta Knight's Revenge,,where is smiley?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Takmi (Hommarju Extend Remix),Resonance of Ray,31,20,51,11,Takmi (Hommarju Extend Remix),,Takmi (Hommarju Extend Remix),Resonance of Ray,Resonance of Ray,Resonance of Ray,Resonance of Ray,,,Takmi (Hommarju Extend Remix),Resonance of Ray,,,,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),Resonance of Ray,,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),Resonance of Ray,Takmi (Hommarju Extend Remix),Resonance of Ray,Takmi (Hommarju Extend Remix),Resonance of Ray,,Takmi (Hommarju Extend Remix),Resonance of Ray,,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,Resonance of Ray,Takmi (Hommarju Extend Remix),Resonance of Ray,Takmi (Hommarju Extend Remix),,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,,,,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,Takmi (Hommarju Extend Remix),,,,,Resonance of Ray,,,Takmi (Hommarju Extend Remix),,Resonance of Ray,Resonance of Ray,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,Resonance of Ray,Takmi (Hommarju Extend Remix),,,Takmi (Hommarju Extend Remix),,Resonance of Ray,,Takmi (Hommarju Extend Remix),,Resonance of Ray,Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),Takmi (Hommarju Extend Remix),,Resonance of Ray,Resonance of Ray,,Takmi (Hommarju Extend Remix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Kaze no Ne,Loneliness of the Caged Bird,26,27,53,1,Loneliness of the Caged Bird,,Kaze no Ne,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Kaze no Ne,,,Loneliness of the Caged Bird,Kaze no Ne,,,Kaze no Ne,Kaze no Ne,Loneliness of the Caged Bird,Kaze no Ne,,Kaze no Ne,Loneliness of the Caged Bird,Kaze no Ne,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Kaze no Ne,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,Kaze no Ne,,Loneliness of the Caged Bird,Kaze no Ne,Kaze no Ne,Loneliness of the Caged Bird,,Kaze no Ne,Loneliness of the Caged Bird,,,,,Kaze no Ne,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Kaze no Ne,,,,,Loneliness of the Caged Bird,,Kaze no Ne,Kaze no Ne,,Loneliness of the Caged Bird,Loneliness of the Caged Bird,Kaze no Ne,Loneliness of the Caged Bird,,Kaze no Ne,Kaze no Ne,,,Kaze no Ne,,Kaze no Ne,,Kaze no Ne,,Kaze no Ne,Kaze no Ne,Loneliness of the Caged Bird,Loneliness of the Caged Bird,,Kaze no Ne,Loneliness of the Caged Bird,,Loneliness of the Caged Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Forlorn Last Stand,Taido (Kenichiro Fukui Remix),24,27,51,3,Taido (Kenichiro Fukui Remix),,Forlorn Last Stand,Taido (Kenichiro Fukui Remix),Forlorn Last Stand,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,,Taido (Kenichiro Fukui Remix),Forlorn Last Stand,,,,Forlorn Last Stand,Taido (Kenichiro Fukui Remix),Forlorn Last Stand,,Taido (Kenichiro Fukui Remix),Forlorn Last Stand,Forlorn Last Stand,Forlorn Last Stand,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),Forlorn Last Stand,Forlorn Last Stand,,Taido (Kenichiro Fukui Remix),Forlorn Last Stand,,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,Forlorn Last Stand,Taido (Kenichiro Fukui Remix),Forlorn Last Stand,Forlorn Last Stand,,Forlorn Last Stand,Forlorn Last Stand,,,,,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,Forlorn Last Stand,Taido (Kenichiro Fukui Remix),,Forlorn Last Stand,,,,,Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,Forlorn Last Stand,Taido (Kenichiro Fukui Remix),Forlorn Last Stand,Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),Taido (Kenichiro Fukui Remix),,,Forlorn Last Stand,,Taido (Kenichiro Fukui Remix),,Forlorn Last Stand,,Forlorn Last Stand,Taido (Kenichiro Fukui Remix),Forlorn Last Stand,Taido (Kenichiro Fukui Remix),,,Taido (Kenichiro Fukui Remix),,Taido (Kenichiro Fukui Remix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Mission Theme 02,To the West,28,27,55,1,Mission Theme 02,,Mission Theme 02,,Mission Theme 02,To the West,Mission Theme 02,,,Mission Theme 02,To the West,,,To the West,Mission Theme 02,Mission Theme 02,Mission Theme 02,,Mission Theme 02,Mission Theme 02,To the West,To the West,Mission Theme 02,Mission Theme 02,To the West,Mission Theme 02,,To the West,To the West,Mission Theme 02,To the West,,,Mission Theme 02,Mission Theme 02,To the West,To the West,,Mission Theme 02,Mission Theme 02,,,,,To the West,To the West,,To the West,To the West,,To the West,Mission Theme 02,Mission Theme 02,,,To the West,,Mission Theme 02,To the West,,,To the West,Mission Theme 02,Mission Theme 02,,To the West,To the West,,Mission Theme 02,Mission Theme 02,,Mission Theme 02,Mission Theme 02,To the West,,To the West,Mission Theme 02,To the West,To the West,,Mission Theme 02,To the West,,To the West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,-(LYSINE)-,Lost Forest,18,36,54,18,Lost Forest,,Lost Forest,,Lost Forest,-(LYSINE)-,Lost Forest,,,,Lost Forest,,,-(LYSINE)-,Lost Forest,Lost Forest,Lost Forest,,-(LYSINE)-,-(LYSINE)-,Lost Forest,Lost Forest,-(LYSINE)-,Lost Forest,-(LYSINE)-,Lost Forest,,-(LYSINE)-,Lost Forest,-(LYSINE)-,Lost Forest,,,-(LYSINE)-,Lost Forest,-(LYSINE)-,Lost Forest,,Lost Forest,Lost Forest,,,,,-(LYSINE)-,Lost Forest,,-(LYSINE)-,Lost Forest,,Lost Forest,-(LYSINE)-,Lost Forest,,,Lost Forest,,Lost Forest,-(LYSINE)-,,,Lost Forest,Lost Forest,-(LYSINE)-,,-(LYSINE)-,Lost Forest,,-(LYSINE)-,Lost Forest,,Lost Forest,-(LYSINE)-,Lost Forest,,Lost Forest,Lost Forest,Lost Forest,Lost Forest,,Lost Forest,Lost Forest,,Lost Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Precipice,Did You See the Ocean?,33,21,54,12,Precipice,,Precipice,Precipice,Precipice,Did You See the Ocean?,Precipice,,,Did You See the Ocean?,Precipice,,,,Did You See the Ocean?,Precipice,Did You See the Ocean?,,Did You See the Ocean?,Precipice,Precipice,Precipice,Precipice,Precipice,Precipice,Precipice,,Did You See the Ocean?,Precipice,Did You See the Ocean?,Did You See the Ocean?,Did You See the Ocean?,,,Precipice,Did You See the Ocean?,,,Precipice,Precipice,,,,,Did You See the Ocean?,Did You See the Ocean?,,Precipice,Precipice,,Precipice,Did You See the Ocean?,Precipice,,,Did You See the Ocean?,,Precipice,Precipice,,Precipice,Precipice,Precipice,Precipice,,,Precipice,,Did You See the Ocean?,Precipice,,Precipice,Precipice,Did You See the Ocean?,,Did You See the Ocean?,Did You See the Ocean?,Precipice,Did You See the Ocean?,,Did You See the Ocean?,Precipice,,Did You See the Ocean?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,29,26,55,3,Conquest ~ Conquest (Ablaze),,Battle - f8 One Who Stands Against God,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,,,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),,,,Battle - f8 One Who Stands Against God,Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,,Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,,Battle - f8 One Who Stands Against God,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),,,Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,,,,,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,,Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,,Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,Conquest ~ Conquest (Ablaze),,,Battle - f8 One Who Stands Against God,,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,,,Battle - f8 One Who Stands Against God,,Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,,Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,Battle - f8 One Who Stands Against God,,Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,Conquest ~ Conquest (Ablaze),Conquest ~ Conquest (Ablaze),,Conquest ~ Conquest (Ablaze),Battle - f8 One Who Stands Against God,,Conquest ~ Conquest (Ablaze),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Danza zandA (Long Version),Spiral of Erebos,24,29,53,5,Spiral of Erebos,,Spiral of Erebos,Spiral of Erebos,Danza zandA (Long Version),Spiral of Erebos,Spiral of Erebos,,,Spiral of Erebos,Danza zandA (Long Version),,Danza zandA (Long Version),,,Danza zandA (Long Version),Spiral of Erebos,,Spiral of Erebos,Spiral of Erebos,Danza zandA (Long Version),Spiral of Erebos,Danza zandA (Long Version),Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,,,Spiral of Erebos,Spiral of Erebos,Danza zandA (Long Version),Danza zandA (Long Version),,Spiral of Erebos,Spiral of Erebos,Spiral of Erebos,Danza zandA (Long Version),,Danza zandA (Long Version),Danza zandA (Long Version),,,,,Spiral of Erebos,Spiral of Erebos,,Spiral of Erebos,Spiral of Erebos,,Danza zandA (Long Version),Danza zandA (Long Version),,,,Danza zandA (Long Version),,Spiral of Erebos,Spiral of Erebos,,Spiral of Erebos,Danza zandA (Long Version),Danza zandA (Long Version),Danza zandA (Long Version),,Spiral of Erebos,Danza zandA (Long Version),,Danza zandA (Long Version),Danza zandA (Long Version),,Danza zandA (Long Version),,Spiral of Erebos,,Spiral of Erebos,Spiral of Erebos,Danza zandA (Long Version),Danza zandA (Long Version),,Danza zandA (Long Version),Spiral of Erebos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Liminality,Miralodia Expressway,29,23,52,6,Liminality,,Miralodia Expressway,Liminality,Miralodia Expressway,Miralodia Expressway,Liminality,,,Liminality,Miralodia Expressway,,Liminality,,,Miralodia Expressway,Miralodia Expressway,,Miralodia Expressway,Liminality,Liminality,Miralodia Expressway,Miralodia Expressway,Liminality,Liminality,Miralodia Expressway,,Liminality,Miralodia Expressway,Miralodia Expressway,Liminality,Miralodia Expressway,,Miralodia Expressway,Miralodia Expressway,Liminality,Liminality,,Liminality,Miralodia Expressway,,,,,Miralodia Expressway,Liminality,,Liminality,Liminality,,Liminality,Miralodia Expressway,,,,Liminality,,Miralodia Expressway,Miralodia Expressway,,Liminality,Liminality,Liminality,Liminality,,Miralodia Expressway,,,Liminality,Miralodia Expressway,,Miralodia Expressway,,Liminality,,Liminality,Liminality,Liminality,Liminality,,,Liminality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,FIGHT!! Ver.1,No One Cares About the Letter L,32,23,55,9,FIGHT!! Ver.1,,FIGHT!! Ver.1,FIGHT!! Ver.1,FIGHT!! Ver.1,FIGHT!! Ver.1,FIGHT!! Ver.1,,,,FIGHT!! Ver.1,,,,FIGHT!! Ver.1,No One Cares About the Letter L,FIGHT!! Ver.1,,No One Cares About the Letter L,FIGHT!! Ver.1,FIGHT!! Ver.1,No One Cares About the Letter L,No One Cares About the Letter L,,FIGHT!! Ver.1,No One Cares About the Letter L,,No One Cares About the Letter L,FIGHT!! Ver.1,FIGHT!! Ver.1,No One Cares About the Letter L,No One Cares About the Letter L,,FIGHT!! Ver.1,No One Cares About the Letter L,No One Cares About the Letter L,No One Cares About the Letter L,,FIGHT!! Ver.1,No One Cares About the Letter L,,,,,FIGHT!! Ver.1,FIGHT!! Ver.1,,FIGHT!! Ver.1,FIGHT!! Ver.1,,No One Cares About the Letter L,FIGHT!! Ver.1,FIGHT!! Ver.1,,,No One Cares About the Letter L,,FIGHT!! Ver.1,FIGHT!! Ver.1,,FIGHT!! Ver.1,No One Cares About the Letter L,No One Cares About the Letter L,FIGHT!! Ver.1,,FIGHT!! Ver.1,FIGHT!! Ver.1,,No One Cares About the Letter L,No One Cares About the Letter L,,No One Cares About the Letter L,No One Cares About the Letter L,FIGHT!! Ver.1,,FIGHT!! Ver.1,No One Cares About the Letter L,FIGHT!! Ver.1,No One Cares About the Letter L,,FIGHT!! Ver.1,No One Cares About the Letter L,,FIGHT!! Ver.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,assemble,Auld Lang Syne,26,28,54,2,Auld Lang Syne,,assemble,assemble,,Auld Lang Syne,Auld Lang Syne,,,,Auld Lang Syne,,,,Auld Lang Syne,assemble,assemble,,Auld Lang Syne,Auld Lang Syne,assemble,Auld Lang Syne,assemble,,Auld Lang Syne,Auld Lang Syne,,assemble,assemble,Auld Lang Syne,assemble,Auld Lang Syne,,Auld Lang Syne,Auld Lang Syne,Auld Lang Syne,assemble,,assemble,assemble,,,,,assemble,Auld Lang Syne,,Auld Lang Syne,assemble,,Auld Lang Syne,assemble,Auld Lang Syne,,,assemble,,assemble,assemble,,Auld Lang Syne,assemble,Auld Lang Syne,assemble,,Auld Lang Syne,assemble,,assemble,assemble,,assemble,Auld Lang Syne,Auld Lang Syne,,Auld Lang Syne,assemble,Auld Lang Syne,Auld Lang Syne,,Auld Lang Syne,Auld Lang Syne,,assemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,STARRY NIGHT FEVER,Obtain An Unused Whale In The Abstract Sea,25,30,55,5,Obtain An Unused Whale In The Abstract Sea,,STARRY NIGHT FEVER,,STARRY NIGHT FEVER,STARRY NIGHT FEVER,Obtain An Unused Whale In The Abstract Sea,,,,Obtain An Unused Whale In The Abstract Sea,,,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,STARRY NIGHT FEVER,STARRY NIGHT FEVER,STARRY NIGHT FEVER,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,STARRY NIGHT FEVER,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,STARRY NIGHT FEVER,,STARRY NIGHT FEVER,STARRY NIGHT FEVER,STARRY NIGHT FEVER,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,STARRY NIGHT FEVER,Obtain An Unused Whale In The Abstract Sea,,,,,STARRY NIGHT FEVER,STARRY NIGHT FEVER,,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,STARRY NIGHT FEVER,STARRY NIGHT FEVER,,,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,STARRY NIGHT FEVER,,,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,Obtain An Unused Whale In The Abstract Sea,,STARRY NIGHT FEVER,Obtain An Unused Whale In The Abstract Sea,,Obtain An Unused Whale In The Abstract Sea,STARRY NIGHT FEVER,,STARRY NIGHT FEVER,STARRY NIGHT FEVER,Obtain An Unused Whale In The Abstract Sea,,STARRY NIGHT FEVER,Obtain An Unused Whale In The Abstract Sea,STARRY NIGHT FEVER,,,STARRY NIGHT FEVER,Obtain An Unused Whale In The Abstract Sea,,STARRY NIGHT FEVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,At Tokione,Sanctuary,25,30,55,5,Sanctuary,,At Tokione,,At Tokione,Sanctuary,Sanctuary,,,,Sanctuary,,,At Tokione,Sanctuary,At Tokione,Sanctuary,,Sanctuary,Sanctuary,Sanctuary,Sanctuary,Sanctuary,At Tokione,At Tokione,Sanctuary,,At Tokione,Sanctuary,Sanctuary,At Tokione,At Tokione,,At Tokione,Sanctuary,Sanctuary,Sanctuary,Sanctuary,At Tokione,Sanctuary,,,,,At Tokione,Sanctuary,,At Tokione,Sanctuary,,At Tokione,At Tokione,Sanctuary,,,At Tokione,,At Tokione,At Tokione,,,At Tokione,At Tokione,Sanctuary,,At Tokione,Sanctuary,,At Tokione,Sanctuary,,Sanctuary,Sanctuary,Sanctuary,,Sanctuary,Sanctuary,At Tokione,,,At Tokione,At Tokione,,Sanctuary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"Oṃ Maṇi Padme Hūṃ, part II",Stow-on-Side,31,23,54,8,"Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II",Stow-on-Side,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",Stow-on-Side,,,,Stow-on-Side,,,,"Oṃ Maṇi Padme Hūṃ, part II",Stow-on-Side,Stow-on-Side,,Stow-on-Side,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",Stow-on-Side,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",Stow-on-Side,"Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II",Stow-on-Side,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II",Stow-on-Side,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,,,,Stow-on-Side,Stow-on-Side,,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II",,,,,"Oṃ Maṇi Padme Hūṃ, part II",,Stow-on-Side,Stow-on-Side,,"Oṃ Maṇi Padme Hūṃ, part II",Stow-on-Side,Stow-on-Side,"Oṃ Maṇi Padme Hūṃ, part II",,"Oṃ Maṇi Padme Hūṃ, part II",Stow-on-Side,,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,Stow-on-Side,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",,Stow-on-Side,"Oṃ Maṇi Padme Hūṃ, part II","Oṃ Maṇi Padme Hūṃ, part II",Stow-on-Side,,Stow-on-Side,Stow-on-Side,,Stow-on-Side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,The Turks - Tseng and Elena,EXODUS (Full ver.),31,23,54,8,The Turks - Tseng and Elena,,EXODUS (Full ver.),The Turks - Tseng and Elena,EXODUS (Full ver.),The Turks - Tseng and Elena,EXODUS (Full ver.),,,,EXODUS (Full ver.),,,,The Turks - Tseng and Elena,The Turks - Tseng and Elena,The Turks - Tseng and Elena,,The Turks - Tseng and Elena,EXODUS (Full ver.),The Turks - Tseng and Elena,EXODUS (Full ver.),The Turks - Tseng and Elena,The Turks - Tseng and Elena,EXODUS (Full ver.),The Turks - Tseng and Elena,,The Turks - Tseng and Elena,The Turks - Tseng and Elena,EXODUS (Full ver.),The Turks - Tseng and Elena,EXODUS (Full ver.),,The Turks - Tseng and Elena,EXODUS (Full ver.),The Turks - Tseng and Elena,EXODUS (Full ver.),,EXODUS (Full ver.),EXODUS (Full ver.),,,,,The Turks - Tseng and Elena,The Turks - Tseng and Elena,,EXODUS (Full ver.),EXODUS (Full ver.),,EXODUS (Full ver.),The Turks - Tseng and Elena,,,,EXODUS (Full ver.),,The Turks - Tseng and Elena,The Turks - Tseng and Elena,,EXODUS (Full ver.),EXODUS (Full ver.),EXODUS (Full ver.),The Turks - Tseng and Elena,,The Turks - Tseng and Elena,,,The Turks - Tseng and Elena,The Turks - Tseng and Elena,,EXODUS (Full ver.),The Turks - Tseng and Elena,The Turks - Tseng and Elena,,The Turks - Tseng and Elena,The Turks - Tseng and Elena,The Turks - Tseng and Elena,The Turks - Tseng and Elena,,The Turks - Tseng and Elena,EXODUS (Full ver.),,EXODUS (Full ver.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Shiva (Glacier Remix),Florest,37,20,57,17,Shiva (Glacier Remix),,Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),,,,Shiva (Glacier Remix),,,Shiva (Glacier Remix),Shiva (Glacier Remix),Florest,Florest,,Shiva (Glacier Remix),Shiva (Glacier Remix),Florest,Shiva (Glacier Remix),Shiva (Glacier Remix),Florest,Shiva (Glacier Remix),Florest,,Florest,Shiva (Glacier Remix),Florest,Florest,Florest,,Shiva (Glacier Remix),Florest,Shiva (Glacier Remix),Shiva (Glacier Remix),,Shiva (Glacier Remix),Florest,,,,,Shiva (Glacier Remix),Shiva (Glacier Remix),,Shiva (Glacier Remix),Florest,,Florest,Florest,Shiva (Glacier Remix),,,Shiva (Glacier Remix),,Shiva (Glacier Remix),Florest,,Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),,Florest,Shiva (Glacier Remix),,Florest,Shiva (Glacier Remix),,Shiva (Glacier Remix),Shiva (Glacier Remix),Shiva (Glacier Remix),,Shiva (Glacier Remix),Florest,Shiva (Glacier Remix),Shiva (Glacier Remix),,Florest,Florest,,Shiva (Glacier Remix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
