ID,Song A,Song B,Votes A,Votes B,Total,Margin,Winner,,akk,ama,andy,arti,azu,barrel,bebr,cako,cap,chaeix,chaos,collen,crest,dan,dem,deo,devi,dire,dis,dowolf,dragon,drj133,ema,fivda,fl81,flam,gall,gba,golden,haste,hb,hbj,horita,hotdog,hunt,isquen,janus,jona,jungle,kama,kcf,kid,koala,korji,lasa,lefty,lem,mac,marg,mark,max,mega,mihark,moon,mzero,nfun,orange,p0,pablo,para,pixel,place,plas,pony,prince,prod,prody,pyre,rev,rika,rwlh,sceptile,sergio,shark,skull,sly,taffer,tazzy,tennis,tgs,tked,tre,tunnel,turus,uf8,wave,xx521,yhen,zel
211,Back in Time,Festival of Dionysus (Greece),35,20,55,15,Back in Time,,,,Back in Time,Back in Time,Back in Time,,,Back in Time,,,,Back in Time,Festival of Dionysus (Greece),Back in Time,,Back in Time,Back in Time,,Back in Time,Festival of Dionysus (Greece),,Back in Time,,Back in Time,Back in Time,,Back in Time,,,Festival of Dionysus (Greece),Back in Time,Back in Time,Festival of Dionysus (Greece),,Back in Time,Back in Time,Back in Time,Festival of Dionysus (Greece),,Back in Time,Back in Time,,,Back in Time,,Festival of Dionysus (Greece),Back in Time,Festival of Dionysus (Greece),,,Festival of Dionysus (Greece),Back in Time,Festival of Dionysus (Greece),,,Festival of Dionysus (Greece),Back in Time,Festival of Dionysus (Greece),Festival of Dionysus (Greece),Festival of Dionysus (Greece),,Back in Time,Festival of Dionysus (Greece),Back in Time,Back in Time,Festival of Dionysus (Greece),,Festival of Dionysus (Greece),,,Festival of Dionysus (Greece),Back in Time,Festival of Dionysus (Greece),,Festival of Dionysus (Greece),Back in Time,Festival of Dionysus (Greece),,,Back in Time,,Back in Time,Back in Time,Back in Time,Back in Time,,Back in Time,,
212,Sayonara (ALL PHASE MIX),World Ender,30,23,53,7,Sayonara (ALL PHASE MIX),,,,Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),,,,,,,,World Ender,World Ender,World Ender,Sayonara (ALL PHASE MIX),World Ender,Sayonara (ALL PHASE MIX),,World Ender,Sayonara (ALL PHASE MIX),,Sayonara (ALL PHASE MIX),,World Ender,World Ender,,World Ender,,,Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),World Ender,World Ender,Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),World Ender,,Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),,Sayonara (ALL PHASE MIX),,Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),,,Sayonara (ALL PHASE MIX),World Ender,,,,World Ender,Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),World Ender,World Ender,,,,Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),,World Ender,,,,World Ender,Sayonara (ALL PHASE MIX),World Ender,Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),World Ender,,,,World Ender,,Sayonara (ALL PHASE MIX),World Ender,Sayonara (ALL PHASE MIX),Sayonara (ALL PHASE MIX),,World Ender,,World Ender
213,Miss Conductor (Regret ver.),PowerOne,26,30,56,4,PowerOne,,,,PowerOne,Miss Conductor (Regret ver.),,,,,,,,PowerOne,PowerOne,Miss Conductor (Regret ver.),PowerOne,PowerOne,PowerOne,,PowerOne,PowerOne,,Miss Conductor (Regret ver.),,PowerOne,Miss Conductor (Regret ver.),,Miss Conductor (Regret ver.),,,PowerOne,Miss Conductor (Regret ver.),PowerOne,PowerOne,PowerOne,Miss Conductor (Regret ver.),PowerOne,Miss Conductor (Regret ver.),PowerOne,,Miss Conductor (Regret ver.),PowerOne,PowerOne,,PowerOne,,Miss Conductor (Regret ver.),Miss Conductor (Regret ver.),Miss Conductor (Regret ver.),,,PowerOne,Miss Conductor (Regret ver.),,,,PowerOne,PowerOne,PowerOne,Miss Conductor (Regret ver.),Miss Conductor (Regret ver.),,,Miss Conductor (Regret ver.),Miss Conductor (Regret ver.),Miss Conductor (Regret ver.),,Miss Conductor (Regret ver.),,,,PowerOne,Miss Conductor (Regret ver.),PowerOne,PowerOne,PowerOne,Miss Conductor (Regret ver.),PowerOne,,,Miss Conductor (Regret ver.),,Miss Conductor (Regret ver.),PowerOne,PowerOne,Miss Conductor (Regret ver.),PowerOne,Miss Conductor (Regret ver.),,Miss Conductor (Regret ver.)
214,You Can Have Mine,Astebreed ~ The Void,18,34,52,16,Astebreed ~ The Void,,,,You Can Have Mine,Astebreed ~ The Void,,,,,,,,You Can Have Mine,Astebreed ~ The Void,Astebreed ~ The Void,You Can Have Mine,Astebreed ~ The Void,Astebreed ~ The Void,,You Can Have Mine,You Can Have Mine,,Astebreed ~ The Void,,Astebreed ~ The Void,Astebreed ~ The Void,,Astebreed ~ The Void,,,,You Can Have Mine,You Can Have Mine,You Can Have Mine,Astebreed ~ The Void,Astebreed ~ The Void,You Can Have Mine,Astebreed ~ The Void,Astebreed ~ The Void,,You Can Have Mine,You Can Have Mine,Astebreed ~ The Void,,Astebreed ~ The Void,,Astebreed ~ The Void,Astebreed ~ The Void,Astebreed ~ The Void,,,You Can Have Mine,You Can Have Mine,,,,,Astebreed ~ The Void,You Can Have Mine,Astebreed ~ The Void,You Can Have Mine,,,Astebreed ~ The Void,You Can Have Mine,Astebreed ~ The Void,,Astebreed ~ The Void,,,,Astebreed ~ The Void,Astebreed ~ The Void,Astebreed ~ The Void,,Astebreed ~ The Void,Astebreed ~ The Void,You Can Have Mine,,,You Can Have Mine,,Astebreed ~ The Void,Astebreed ~ The Void,Astebreed ~ The Void,Astebreed ~ The Void,,Astebreed ~ The Void,,Astebreed ~ The Void
215,Rampage,"K'Sante, the Pride of Nazumah",32,27,59,5,Rampage,,,,Rampage,Rampage,Rampage,,,"K'Sante, the Pride of Nazumah",,"K'Sante, the Pride of Nazumah",,Rampage,"K'Sante, the Pride of Nazumah",Rampage,,Rampage,Rampage,,"K'Sante, the Pride of Nazumah",Rampage,,"K'Sante, the Pride of Nazumah",Rampage,Rampage,Rampage,,Rampage,,,,"K'Sante, the Pride of Nazumah",Rampage,"K'Sante, the Pride of Nazumah",Rampage,Rampage,Rampage,Rampage,"K'Sante, the Pride of Nazumah",,Rampage,"K'Sante, the Pride of Nazumah",,,"K'Sante, the Pride of Nazumah",,Rampage,Rampage,"K'Sante, the Pride of Nazumah",,Rampage,"K'Sante, the Pride of Nazumah",Rampage,"K'Sante, the Pride of Nazumah",,,,Rampage,"K'Sante, the Pride of Nazumah",Rampage,"K'Sante, the Pride of Nazumah",,"K'Sante, the Pride of Nazumah",,Rampage,"K'Sante, the Pride of Nazumah",,Rampage,"K'Sante, the Pride of Nazumah",,Rampage,"K'Sante, the Pride of Nazumah","K'Sante, the Pride of Nazumah","K'Sante, the Pride of Nazumah",Rampage,"K'Sante, the Pride of Nazumah","K'Sante, the Pride of Nazumah",Rampage,,,"K'Sante, the Pride of Nazumah",,Rampage,"K'Sante, the Pride of Nazumah","K'Sante, the Pride of Nazumah","K'Sante, the Pride of Nazumah",,Rampage,,Rampage
216,nATALIE,Staff Roll,30,32,62,2,Staff Roll,,,,Staff Roll,Staff Roll,Staff Roll,,,nATALIE,,nATALIE,,nATALIE,nATALIE,Staff Roll,,Staff Roll,Staff Roll,,Staff Roll,nATALIE,,nATALIE,nATALIE,nATALIE,nATALIE,,nATALIE,,,nATALIE,Staff Roll,Staff Roll,nATALIE,nATALIE,nATALIE,Staff Roll,nATALIE,nATALIE,,Staff Roll,Staff Roll,,,nATALIE,,Staff Roll,nATALIE,nATALIE,,Staff Roll,nATALIE,Staff Roll,Staff Roll,,,nATALIE,Staff Roll,Staff Roll,Staff Roll,Staff Roll,,Staff Roll,,Staff Roll,Staff Roll,nATALIE,,Staff Roll,,nATALIE,Staff Roll,nATALIE,nATALIE,Staff Roll,nATALIE,nATALIE,Staff Roll,,,Staff Roll,,Staff Roll,nATALIE,nATALIE,Staff Roll,Staff Roll,Staff Roll,,nATALIE
217,Unused Song 2,Un Deux Trois,31,32,63,1,Un Deux Trois,,,,Unused Song 2,Un Deux Trois,Unused Song 2,,,Un Deux Trois,,Unused Song 2,,Un Deux Trois,Un Deux Trois,Unused Song 2,,Un Deux Trois,Un Deux Trois,,Un Deux Trois,Un Deux Trois,,Un Deux Trois,Un Deux Trois,Unused Song 2,Unused Song 2,,Unused Song 2,,,Un Deux Trois,Un Deux Trois,Unused Song 2,Un Deux Trois,Unused Song 2,Un Deux Trois,Un Deux Trois,Un Deux Trois,Un Deux Trois,,Unused Song 2,Unused Song 2,,,Unused Song 2,,Unused Song 2,Un Deux Trois,Un Deux Trois,,Unused Song 2,Un Deux Trois,Un Deux Trois,Un Deux Trois,,,Unused Song 2,Un Deux Trois,Unused Song 2,Unused Song 2,Un Deux Trois,,Unused Song 2,,Unused Song 2,Unused Song 2,Unused Song 2,Un Deux Trois,Un Deux Trois,,Unused Song 2,Unused Song 2,Un Deux Trois,Un Deux Trois,Un Deux Trois,Un Deux Trois,Un Deux Trois,Unused Song 2,,,Unused Song 2,,Un Deux Trois,Unused Song 2,Unused Song 2,Unused Song 2,Unused Song 2,Unused Song 2,,Unused Song 2
218,Song of Mourning: The Eternal Wind,Sight of Silence,30,26,56,4,Song of Mourning: The Eternal Wind,,,Song of Mourning: The Eternal Wind,Song of Mourning: The Eternal Wind,Song of Mourning: The Eternal Wind,Song of Mourning: The Eternal Wind,,,,,,,Sight of Silence,Sight of Silence,Sight of Silence,,Sight of Silence,Song of Mourning: The Eternal Wind,,Sight of Silence,Song of Mourning: The Eternal Wind,,Sight of Silence,Sight of Silence,,Sight of Silence,,Song of Mourning: The Eternal Wind,,,Song of Mourning: The Eternal Wind,Sight of Silence,Song of Mourning: The Eternal Wind,Song of Mourning: The Eternal Wind,Sight of Silence,Song of Mourning: The Eternal Wind,Song of Mourning: The Eternal Wind,Sight of Silence,Song of Mourning: The Eternal Wind,,Song of Mourning: The Eternal Wind,Sight of Silence,,,Song of Mourning: The Eternal Wind,,Sight of Silence,Song of Mourning: The Eternal Wind,Sight of Silence,,,Song of Mourning: The Eternal Wind,Sight of Silence,,,,Song of Mourning: The Eternal Wind,Song of Mourning: The Eternal Wind,Sight of Silence,Song of Mourning: The Eternal Wind,Song of Mourning: The Eternal Wind,,Sight of Silence,Sight of Silence,Song of Mourning: The Eternal Wind,Sight of Silence,Sight of Silence,Sight of Silence,Sight of Silence,,Sight of Silence,,Song of Mourning: The Eternal Wind,Sight of Silence,,Song of Mourning: The Eternal Wind,Sight of Silence,,,,Song of Mourning: The Eternal Wind,,Song of Mourning: The Eternal Wind,Song of Mourning: The Eternal Wind,Song of Mourning: The Eternal Wind,Song of Mourning: The Eternal Wind,,Song of Mourning: The Eternal Wind,,Sight of Silence
219,An Empty Tome,Millennium Spark (Firestorm BT MIX),32,26,58,6,An Empty Tome,,,An Empty Tome,Millennium Spark (Firestorm BT MIX),An Empty Tome,Millennium Spark (Firestorm BT MIX),,,An Empty Tome,,,,An Empty Tome,Millennium Spark (Firestorm BT MIX),Millennium Spark (Firestorm BT MIX),,An Empty Tome,An Empty Tome,,Millennium Spark (Firestorm BT MIX),Millennium Spark (Firestorm BT MIX),,Millennium Spark (Firestorm BT MIX),Millennium Spark (Firestorm BT MIX),,An Empty Tome,,Millennium Spark (Firestorm BT MIX),,,An Empty Tome,An Empty Tome,An Empty Tome,An Empty Tome,Millennium Spark (Firestorm BT MIX),Millennium Spark (Firestorm BT MIX),An Empty Tome,Millennium Spark (Firestorm BT MIX),Millennium Spark (Firestorm BT MIX),,An Empty Tome,Millennium Spark (Firestorm BT MIX),,,An Empty Tome,,Millennium Spark (Firestorm BT MIX),Millennium Spark (Firestorm BT MIX),An Empty Tome,,,Millennium Spark (Firestorm BT MIX),An Empty Tome,,,,An Empty Tome,Millennium Spark (Firestorm BT MIX),Millennium Spark (Firestorm BT MIX),An Empty Tome,An Empty Tome,,An Empty Tome,Millennium Spark (Firestorm BT MIX),An Empty Tome,An Empty Tome,Millennium Spark (Firestorm BT MIX),,An Empty Tome,,Millennium Spark (Firestorm BT MIX),,Millennium Spark (Firestorm BT MIX),An Empty Tome,,Millennium Spark (Firestorm BT MIX),An Empty Tome,An Empty Tome,,,Millennium Spark (Firestorm BT MIX),,Millennium Spark (Firestorm BT MIX),An Empty Tome,An Empty Tome,An Empty Tome,An Empty Tome,An Empty Tome,,An Empty Tome
220,Dancing Mad,Calling,33,27,60,6,Dancing Mad,,,Dancing Mad,,Calling,Calling,Calling,,Dancing Mad,,,,Calling,Calling,Dancing Mad,,Calling,Dancing Mad,,Calling,Dancing Mad,,Calling,Calling,,Dancing Mad,,Calling,,,Dancing Mad,Calling,Dancing Mad,Dancing Mad,Calling,Calling,Calling,Dancing Mad,Calling,,Dancing Mad,Dancing Mad,,,Dancing Mad,,Dancing Mad,Dancing Mad,Dancing Mad,,,Dancing Mad,Dancing Mad,,,,Calling,Calling,Dancing Mad,Calling,Dancing Mad,,Dancing Mad,Calling,Calling,Dancing Mad,Calling,Dancing Mad,Dancing Mad,,Calling,Dancing Mad,Calling,Dancing Mad,,Dancing Mad,Calling,Calling,,,Dancing Mad,,Dancing Mad,Calling,Dancing Mad,Dancing Mad,Dancing Mad,Calling,,Dancing Mad
221,Old L.A. 2040,Chain of Pain,29,28,57,1,Old L.A. 2040,,,,Old L.A. 2040,Old L.A. 2040,,,,Chain of Pain,,,,Chain of Pain,,Old L.A. 2040,,Chain of Pain,Chain of Pain,,Chain of Pain,Old L.A. 2040,,Old L.A. 2040,Chain of Pain,Chain of Pain,Old L.A. 2040,,Chain of Pain,,,Chain of Pain,Old L.A. 2040,Chain of Pain,Old L.A. 2040,Chain of Pain,Chain of Pain,Old L.A. 2040,Chain of Pain,Chain of Pain,,Old L.A. 2040,Old L.A. 2040,,,Chain of Pain,,Chain of Pain,Chain of Pain,Chain of Pain,,Old L.A. 2040,Chain of Pain,Old L.A. 2040,Chain of Pain,,,Chain of Pain,Old L.A. 2040,Old L.A. 2040,Old L.A. 2040,Old L.A. 2040,,Old L.A. 2040,,Old L.A. 2040,Old L.A. 2040,Chain of Pain,Chain of Pain,Old L.A. 2040,,Chain of Pain,Old L.A. 2040,Chain of Pain,Old L.A. 2040,,Old L.A. 2040,Chain of Pain,Old L.A. 2040,,,Old L.A. 2040,,Chain of Pain,Old L.A. 2040,Old L.A. 2040,,,Old L.A. 2040,,Chain of Pain
222,Banbard (Piano Version),-{EDGE OF THE FUTURE},30,27,57,3,Banbard (Piano Version),,,,Banbard (Piano Version),-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,,-{EDGE OF THE FUTURE},,,,Banbard (Piano Version),,-{EDGE OF THE FUTURE},,Banbard (Piano Version),-{EDGE OF THE FUTURE},,Banbard (Piano Version),Banbard (Piano Version),,Banbard (Piano Version),Banbard (Piano Version),-{EDGE OF THE FUTURE},Banbard (Piano Version),,-{EDGE OF THE FUTURE},,,-{EDGE OF THE FUTURE},Banbard (Piano Version),-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},Banbard (Piano Version),Banbard (Piano Version),Banbard (Piano Version),-{EDGE OF THE FUTURE},Banbard (Piano Version),,-{EDGE OF THE FUTURE},Banbard (Piano Version),,,Banbard (Piano Version),,Banbard (Piano Version),Banbard (Piano Version),-{EDGE OF THE FUTURE},,-{EDGE OF THE FUTURE},Banbard (Piano Version),-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,,Banbard (Piano Version),-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},Banbard (Piano Version),-{EDGE OF THE FUTURE},,Banbard (Piano Version),,Banbard (Piano Version),Banbard (Piano Version),Banbard (Piano Version),Banbard (Piano Version),-{EDGE OF THE FUTURE},,Banbard (Piano Version),Banbard (Piano Version),-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,-{EDGE OF THE FUTURE},Banbard (Piano Version),,,,Banbard (Piano Version),,-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},-{EDGE OF THE FUTURE},,,Banbard (Piano Version),,-{EDGE OF THE FUTURE}
223,GOLDEN RULE (Long Version),Desert-Duo,23,33,56,10,Desert-Duo,,,,Desert-Duo,Desert-Duo,Desert-Duo,,,GOLDEN RULE (Long Version),,,,GOLDEN RULE (Long Version),,Desert-Duo,,GOLDEN RULE (Long Version),Desert-Duo,,Desert-Duo,GOLDEN RULE (Long Version),,GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),Desert-Duo,Desert-Duo,,Desert-Duo,,,Desert-Duo,Desert-Duo,GOLDEN RULE (Long Version),Desert-Duo,GOLDEN RULE (Long Version),Desert-Duo,Desert-Duo,GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),,Desert-Duo,Desert-Duo,,,Desert-Duo,,Desert-Duo,Desert-Duo,GOLDEN RULE (Long Version),,,GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),,,,GOLDEN RULE (Long Version),Desert-Duo,Desert-Duo,Desert-Duo,Desert-Duo,,GOLDEN RULE (Long Version),,Desert-Duo,GOLDEN RULE (Long Version),Desert-Duo,GOLDEN RULE (Long Version),GOLDEN RULE (Long Version),,Desert-Duo,Desert-Duo,GOLDEN RULE (Long Version),Desert-Duo,,Desert-Duo,GOLDEN RULE (Long Version),Desert-Duo,,,GOLDEN RULE (Long Version),,Desert-Duo,Desert-Duo,GOLDEN RULE (Long Version),,,GOLDEN RULE (Long Version),,Desert-Duo
224,Dialga's Fight to the Finish!,To Far Away Times,29,31,60,2,To Far Away Times,,,,To Far Away Times,To Far Away Times,To Far Away Times,,,To Far Away Times,,,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,To Far Away Times,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,Dialga's Fight to the Finish!,To Far Away Times,To Far Away Times,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,To Far Away Times,Dialga's Fight to the Finish!,,To Far Away Times,,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,To Far Away Times,To Far Away Times,Dialga's Fight to the Finish!,To Far Away Times,,To Far Away Times,To Far Away Times,,,Dialga's Fight to the Finish!,,To Far Away Times,To Far Away Times,To Far Away Times,,,To Far Away Times,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,,Dialga's Fight to the Finish!,To Far Away Times,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,To Far Away Times,,,Dialga's Fight to the Finish!,To Far Away Times,Dialga's Fight to the Finish!,,,To Far Away Times,,To Far Away Times,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,To Far Away Times,To Far Away Times,,To Far Away Times,,To Far Away Times,To Far Away Times,To Far Away Times,To Far Away Times,To Far Away Times,Dialga's Fight to the Finish!,,Dialga's Fight to the Finish!
225,Northeast Frost Street,Purple Town,31,28,59,3,Northeast Frost Street,,,,Northeast Frost Street,Northeast Frost Street,Purple Town,,,Purple Town,,,,Northeast Frost Street,Purple Town,Northeast Frost Street,,Purple Town,Northeast Frost Street,,Northeast Frost Street,Northeast Frost Street,Purple Town,Northeast Frost Street,Purple Town,Purple Town,Northeast Frost Street,,Northeast Frost Street,,,Purple Town,Northeast Frost Street,Purple Town,Purple Town,Purple Town,Northeast Frost Street,Northeast Frost Street,Purple Town,Purple Town,,Purple Town,Purple Town,,,Northeast Frost Street,,Purple Town,Purple Town,Purple Town,,,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,,,Purple Town,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,Northeast Frost Street,,,Purple Town,Northeast Frost Street,Purple Town,,Northeast Frost Street,Purple Town,,Purple Town,Northeast Frost Street,Northeast Frost Street,Purple Town,,Northeast Frost Street,Northeast Frost Street,,,,Purple Town,,Northeast Frost Street,Purple Town,Northeast Frost Street,Purple Town,Northeast Frost Street,Northeast Frost Street,,Purple Town
226,Moonlight Concert,Azure Archipelago,32,27,59,5,Moonlight Concert,,,,Azure Archipelago,Moonlight Concert,Moonlight Concert,,,Moonlight Concert,,,,Azure Archipelago,Azure Archipelago,Azure Archipelago,,Azure Archipelago,Azure Archipelago,,Azure Archipelago,Moonlight Concert,Azure Archipelago,Moonlight Concert,Moonlight Concert,Azure Archipelago,Moonlight Concert,,Moonlight Concert,,,Moonlight Concert,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Azure Archipelago,Moonlight Concert,Moonlight Concert,,Moonlight Concert,Azure Archipelago,,,Azure Archipelago,,Moonlight Concert,Moonlight Concert,Moonlight Concert,,,Moonlight Concert,Moonlight Concert,Azure Archipelago,,,,Moonlight Concert,Moonlight Concert,Moonlight Concert,Azure Archipelago,,,Moonlight Concert,Azure Archipelago,Moonlight Concert,,Moonlight Concert,Moonlight Concert,,Azure Archipelago,Moonlight Concert,Moonlight Concert,Moonlight Concert,,Azure Archipelago,Moonlight Concert,Azure Archipelago,,,Azure Archipelago,,Moonlight Concert,Moonlight Concert,Moonlight Concert,Moonlight Concert,Azure Archipelago,Azure Archipelago,,Azure Archipelago
227,Lost Forest,Ragna Breakers,28,30,58,2,Ragna Breakers,,,,Lost Forest,,Ragna Breakers,,,Lost Forest,,,,Ragna Breakers,Lost Forest,Lost Forest,,Lost Forest,Ragna Breakers,,Ragna Breakers,Ragna Breakers,Lost Forest,Ragna Breakers,Lost Forest,,Ragna Breakers,,Ragna Breakers,,,Lost Forest,Ragna Breakers,Lost Forest,Lost Forest,Ragna Breakers,Ragna Breakers,Lost Forest,Ragna Breakers,Ragna Breakers,,Lost Forest,Lost Forest,,,Lost Forest,,Ragna Breakers,Ragna Breakers,Lost Forest,,,Lost Forest,Ragna Breakers,Ragna Breakers,,,Lost Forest,,Lost Forest,Ragna Breakers,Ragna Breakers,,Lost Forest,Ragna Breakers,Ragna Breakers,Ragna Breakers,Ragna Breakers,Ragna Breakers,Lost Forest,,Ragna Breakers,Ragna Breakers,Lost Forest,Lost Forest,,Lost Forest,Ragna Breakers,Lost Forest,,,Lost Forest,,Lost Forest,Lost Forest,Ragna Breakers,,Lost Forest,Ragna Breakers,,Ragna Breakers
228,SHININ' QUEEN,Subterranean Sunrise,31,28,59,3,SHININ' QUEEN,,,,Subterranean Sunrise,,Subterranean Sunrise,SHININ' QUEEN,,SHININ' QUEEN,,,,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,,SHININ' QUEEN,Subterranean Sunrise,,Subterranean Sunrise,SHININ' QUEEN,SHININ' QUEEN,Subterranean Sunrise,SHININ' QUEEN,,SHININ' QUEEN,,Subterranean Sunrise,,,,SHININ' QUEEN,SHININ' QUEEN,Subterranean Sunrise,SHININ' QUEEN,Subterranean Sunrise,SHININ' QUEEN,SHININ' QUEEN,SHININ' QUEEN,,SHININ' QUEEN,Subterranean Sunrise,,,SHININ' QUEEN,,Subterranean Sunrise,Subterranean Sunrise,Subterranean Sunrise,,,Subterranean Sunrise,SHININ' QUEEN,Subterranean Sunrise,,,SHININ' QUEEN,,SHININ' QUEEN,Subterranean Sunrise,Subterranean Sunrise,,SHININ' QUEEN,Subterranean Sunrise,SHININ' QUEEN,Subterranean Sunrise,Subterranean Sunrise,Subterranean Sunrise,Subterranean Sunrise,,SHININ' QUEEN,SHININ' QUEEN,Subterranean Sunrise,SHININ' QUEEN,,Subterranean Sunrise,SHININ' QUEEN,Subterranean Sunrise,,,SHININ' QUEEN,,Subterranean Sunrise,SHININ' QUEEN,Subterranean Sunrise,SHININ' QUEEN,Subterranean Sunrise,SHININ' QUEEN,,Subterranean Sunrise
